country,GDP,Area,Population,Current account balance,Inflation rate
Afghanistan,18.876,647500,37.209,2.209,2.3
Albania,15.276,28748,2.87,-1.166,1.4
Algeria,169.267,2381740,43.424,-17.112,2
Angola,89.417,1246700,30.128,5.132,17.1
Antigua and Barbuda,1.662,443,0.097,-0.108,1.5
Argentina,444.458,2766890,44.939,-3.995,53.5
Armenia,13.673,29800,2.969,-1.118,1.4
Aruba,2.888,193,0.112,0.06,4.3
Australia,1387.085,7686850,25.522,8.267,1.6
Austria,446.309,83870,8.859,11.71,1.5
Azerbaijan,48.048,86600,9.982,4.365,2.7
"Bahamas, The",13.579,13940,0.381,0.084,1.3
Bahrain,38.574,665,1.484,-0.794,1
Bangladesh,302.525,144000,166.586,-5.102,5.5
Barbados,5.209,431,0.287,-0.162,4.1
Belarus,63.085,207600,9.475,-1.166,5.6
Belgium,529.665,30528,11.456,-6.508,1.2
Belize,1.837,22966,0.408,-0.177,0.2
Benin,14.392,112620,11.814,-0.624,-0.9
Bhutan,2.5,47000,0.745,-0.562,2.6
Bolivia,41.193,1098580,11.55,-1.362,1.8
Bosnia and Herzegovina,19.856,51129,3.301,-0.707,0.6
Botswana,18.474,600370,2.377,-1.404,2.8
Brazil,1839.077,8511965,210.147,-50.927,3.7
Brunei Darussalam,13.47,5770,0.46,0.895,-0.4
Bulgaria,67.931,110910,6.951,2.745,2.5
Burkina Faso,15.746,274200,20.326,-0.751,-3.2
Burundi,3.111,678500,11.529,-0.556,-0.7
Cabo Verde,1.982,27830,0.55,0.006,1.1
Cambodia,26.728,181040,16.494,-4.232,2
Cameroon,38.863,475440,25.506,-1.693,2.5
Canada,1736.426,9984670,37.527,-35.428,1.9
Central African Republic,2.277,622984,4.745,-0.112,2.7
Chad,10.934,1284000,15.947,-0.533,-1
Chile,282.254,756950,19.107,-10.853,2.3
"China, People's Republic of",14401.726,9596960,1400.05,141.335,2.9
Colombia,323.561,1138910,50.374,-13.74,3.5
Comoros,1.19,2170,0.874,-0.045,3.7
"Congo, Dem. Rep. of the",49.816,2345410,97.879,-1.882,4.7
"Congo, Republic of ",12.542,342000,4.568,0.442,2.2
Costa Rica,62.142,51100,5.075,-1.475,2.1
Croatia,60.422,56542,4.068,1.678,0.8
Cyprus,24.568,9250,0.876,-1.65,0.6
Czech Republic,250.681,78866,10.65,-0.93,2.9
Denmark,347.031,43094,5.806,27.103,0.7
Djibouti,3.346,23000,1.078,0.435,3.3
Dominica,0.588,754,0.071,-0.16,1.6
