Afghanistan,,6.167,24.861,1.864,10.6,647500,36.0,0.24,0.38
Albania,,8.052,3.011,-0.733,2.4,28748,86.5,0.188,0.579
Algeria,,103.198,32.855,21.183,1.4,2381740,70.0,0.6,0.298
Angola,,36.971,19.851,5.138,23,1246700,42.0,0.658,0.246
Argentina,,199.273,38.592,4.929,9.6,2766890,97.1,0.358,0.547
Armenia,,4.9,3.01,-0.124,0.7,29800,98.6,0.343,0.418
Aruba,,2.331,0.098,0.104,3.4,193,97.0,0.333,0.663
Australia,,734.06,20.312,-43.662,2.7,7686850,100.0,0.262,0.7
Austria,,316.267,8.225,7.143,2.1,83870,98.0,0.304,0.678
Azerbaijan,,13.273,8.447,0.167,9.6,86600,97.0,0.457,0.402
"Bahamas, The",,9.836,0.325,-0.305,1.8,13940,95.6,0.07,0.9
Bahrain,,15.969,0.889,1.476,2.6,665,89.1,0.387,0.608
Bangladesh,,69.461,143.135,-0.557,10.2,144000,43.1,0.198,0.603
Barbados,,3.82,0.274,-0.401,6.1,431,97.4,0.16,0.78
Belarus,,30.211,9.697,0.459,10.3,207600,99.6,0.316,0.591
Belgium,,385.927,10.446,7.701,2.5,30528,98.0,0.24,0.749
Belize,,1.102,0.284,-0.151,3.7,22966,94.1,0.152,0.612
Benin,,6.571,7.982,-0.226,4.7,112620,40.9,0.138,0.546
Bhutan,,0.758,0.624,-0.235,4.8,47000,42.2,0.379,0.363
Bolivia,,9.573,9.125,0.622,5.4,1098580,87.2,0.352,0.52
Bosnia and Herzegovina,,10.935,3.766,-1.844,3.6,51129,,0.308,0.55
Botswana,,10.013,1.876,1.634,8.6,600370,79.8,0.469,0.507
Brazil,,891.633,184.991,13.547,6.9,8511965,86.4,0.4,0.516
Brunei Darussalam,,10.547,0.359,4.507,1,5770,93.9,0.561,0.403
Bulgaria,,29.868,7.719,-2.816,6,110910,98.6,0.304,0.603
Burkina Faso,,6.15,13.422,-0.635,6.4,274200,26.6,0.196,0.482
Burundi,,1.117,7.512,-0.052,13.3,678500,85.3,0.082,0.353
Cabo Verde,,1.091,0.475,-0.034,0.4,27830,51.6,0.203,0.334
Cambodia,,6.287,13.356,-0.24,6.3,181040,69.4,0.3,0.35
Cameroon,,17.974,17.842,-0.496,2,475440,79.0,0.17,0.382
Canada,,1173.505,32.204,22.619,2.2,9984670,97.0,0.294,0.684
Central African Republic,,1.413,3.961,-0.088,2.9,622984,51.0,0.2,0.25
Chad,,6.676,10.097,0.07,4.4,1284000,47.5,0.259,0.406
Chile,,123,16.183,2.104,3.1,756950,96.2,0.493,0.447
"China, People's Republic of",,2290.094,1307.56,132.378,1.8,9596960,90.9,0.473,0.403
Colombia,,145.601,42.889,-1.891,5,1138910,92.5,0.342,0.533
Comoros,,0.656,0.604,-0.025,3,2170,56.5,0.04,0.56
"Congo, Dem. Rep. of the",,12.069,63.845,-0.389,21.5,2345410,65.5,0.11,0.34
"Congo, Republic of ",,6.654,3.233,0.404,2.5,342000,83.8,0.57,0.369
Costa Rica,,19.994,4.215,-0.86,13.8,51100,96.0,0.299,0.614
Croatia,,45.387,4.442,-3.287,3.3,56542,98.5,0.308,0.622
Cyprus,,18.713,0.733,-0.995,2,9250,97.6,0.198,0.765
Czech Republic,,137.143,10.199,-2.869,1.9,78866,99.9,0.393,0.573
Denmark,,264.467,5.411,11.087,1.7,43094,100.0,0.246,0.735
Djibouti,,0.995,0.733,0.304,3.3,23000,67.9,0.225,0.596
Dominican Republic,,35.948,8.968,-0.473,4.2,48730,84.7,0.306,0.582
Ecuador,,41.507,13.721,0.474,2.2,283560,92.5,0.312,0.618
Egypt,,94.127,70.7,2.911,8.7,1001450,57.7,0.357,0.493
El Salvador,,14.698,6.052,-0.622,4.7,21040,80.2,0.302,0.599
Equatorial Guinea,,8.187,0.757,1.376,5.6,28051,85.7,0.906,0.062
Eritrea,,0.85,2.827,0.004,12.5,121320,58.6,0.254,0.643
Estonia,,14.117,1.355,-1.226,4.1,45226,99.8,0.294,0.666
Eswatini,,3.177,1.001,-0.103,4.9,1127127,42.7,0.099,0.426
Fiji,,3.257,0.826,-0.222,2.3,18270,93.7,0.135,0.776
Finland,,204.999,5.237,5.898,0.8,338145,100.0,0.295,0.676
France,,2198.16,60.963,2.283,1.9,547030,99.0,0.214,0.764
Gabon,,9.468,1.364,1.983,1.2,267667,63.2,0.592,0.348
"Gambia, The",,1.028,1.544,-0.065,5,11300,40.1,0.142,0.549
Georgia,,6.591,3.917,-0.711,8.2,69700,99.0,0.275,0.553
Germany,,2848.438,81.337,133.119,1.9,357021,99.0,0.296,0.695
Ghana,,24.521,21.367,-1.219,15.1,239460,74.8,0.246,0.387
Greece,,248.012,10.97,-18.22,3.5,131940,97.5,0.213,0.733
Guatemala,,28.179,13.096,-1.241,9.1,108890,70.6,0.188,0.585
Guinea,,4.506,9.576,-0.037,31.4,245857,35.9,0.362,0.401
Guinea-Bissau,,0.64,1.328,-0.01,3.4,36120,42.4,0.12,0.26
Guyana,,1.712,0.742,-0.097,6.9,214970,98.8,0.203,0.427
